ID,Book課本,Lesson第幾課,tay泰雅語,zh_TW中文,參考例句Sentences Reference,可能例句 Possible References
322,4,9,tpakey,來拍掌,453,
323,4,9,msgsuw,鼓勵,454;470,
324,4,9,psnon,期待,455,
325,4,9,tksyow,驕傲,457,
326,4,10,lahuy,聚會,460;461;474,
327,4,10,knbwayan,成果,461,
328,4,10,cnbaʼan,教導,,
329,4,10,Genzyumin,原住民,461;789,
330,4,10,knlayan,佈置,462;491,
331,4,10,lhuyan,會場,462;463;466;750;757;759;828,
332,4,10,msʼunan,充滿,,
333,4,10,ppiyan,舞蹈,464;471;807;829,
334,4,10,lubuw,器樂,359;364;365;366;465;665;796,
335,4,10,cnunan,織品,467,
336,4,10,thyayun,可以,468,
337,4,10,msgsuw,勉勵,454;470,
338,4,11,mllamu,各式各樣,400;476;494;526;663;720;792;794;829;836,
339,4,11,pʼiyu,述說,,
340,4,11,ksyuw,借,478,
341,4,11,sliʼan,喜歡,,
342,4,11,mybuw,晨間,480,
343,4,11,hkangi,尋覓,,
344,4,11,suʼnan,充滿,,
345,4,11,cinbwanan,世界,693;720,
346,4,11,pssyugan,彼此分享,482,
347,4,11,mʼuluw,豐富,,
348,4,11,tninun,生命,483;598;768,
349,4,11,mʼcyoli,成為人,,
350,4,12,ksobih,依傍,489,
351,4,12,suna,空氣,490;688,
352,4,12,mʼyanux,生活,,
353,4,12,rnuruw,推展,494;617;663;720,
354,4,12,nwey,但願,496;726;746,
355,4,12,kilgan,過程,496;707;812,
356,5,1,Nangogo,南澳鄉,501,
357,5,1,sya cbʼey,湧泉,502,
358,5,1,Zingzya,神社,503,
359,5,1,sya kilux,溫泉,504,
360,5,1,tgliʼ,瀑布,,
361,5,1,hongu,橋,506,
362,5,1,bcilung tlak,神祕湖,507,
363,5,1,tyaba,大的,498;508;516;742;809,
364,5,1,kinus,樟樹,508;809,
365,5,1,kisya,火車,509,
366,5,2,tipik,小,513,
367,5,2,knhulan,故鄉,515,
368,5,2,bih,自於,376;377;399;515;527;568;571;632;688,
369,5,2,Pinsbkan,瑞岩,515,
370,5,2,knahun,從,516;763,
371,5,2,bnkisan,祖先,517;678;695;696;700;702,
372,5,2,babow,後來,413;455;503;518;536;680;701;722,
373,5,2,baha mcya,由於,519;681;848,
374,5,2,mbhoyow,成長,519;591,
375,5,2,khmey,多,519;801;837,
