ID,Book課本,Lesson第幾課,tay泰雅語,zh_TW中文,參考例句Sentences Reference,可能例句 Possible References,,,,,,,,
183,3,3,quri Sqabu,思源啞口,299,,,,,,,,,
184,3,3,Nangogoʼ,南澳,,,,,,,,,,
185,3,3,ulay,溫泉,298;305,,,,,,,,,
186,3,3,Iyuʼ,東澳,,,,,,,,,,
187,3,3,Rgayung,澳花,303,,,,,,,,,
188,3,3,Pyanan,南山,33;299,,,,,,,,,
189,3,3,Ropwe,碧候,303,,,,,,,,,
190,3,3,Nangogoʼ,南澳鄉,,,,,,,,,,
191,3,4,knwagan,整理過,308,,,,,,,,,
192,3,4,baqun,已知道,193;310,,,,,,,,,
193,3,4,qmwax,洗,313,,,,,,,,,
194,3,4,mciyaw,工作,,,,,,,,,,
195,3,4,bwax,米,313,,,,,,,,,
196,3,4,mung,聽,311,,,,,,,,,
197,3,4,lhbaw,輕鬆,312,,,,,,,,,
198,3,5,qmalup,打獵,,,,,,,,,,
199,3,5,tminun,編織,320;321,,,,,,,,,
200,3,5,qwayux,藤,320,,,,,,,,,
201,3,5,waya,籃子,320,,,,,,,,,
202,3,6,pongan,聽,324;334,,,,,,,,,
203,3,6,tucing,擊槌,327,,,,,,,,,
204,3,6,hngyang,聲響,323;324,,,,,,,,,
205,3,6,tcingan qhoniq,木琴,323;325,,,,,,,,,
206,3,6,hmci,任意,328;377,,,,,,,,,
207,3,6,huyay,能夠,,,,,,,,,,
208,3,6,mhmut,隨便,328,,,,,,,,,
209,3,6,tmucing,敲打,327,,,,,,,,,
210,3,6,ptlbugan,樂器,,,,,,,,,,
211,3,6,hkuy,琴鍵,326;327,,,,,,,,,
212,3,6,tringan,碰觸,,,,,,,,,,
213,3,7,qsinuw,野獸,333;334,,,,,,,,,
214,3,7,biyoq,山豬,338,,,,,,,,,
215,3,7,bhut,松鼠,340,,,,,,,,,
216,3,7,yapit,飛鼠,128;339,,,,,,,,,
217,3,7,pyongpyong,野兔,340,,,,,,,,,
218,3,8,mubuʼ,生病,,,,,,,,,,
219,3,8,inu kʼmxal su,哪兒不舒服,346,,,,,,,,,
220,3,8,mkilux,發燒,348,,,,,,,,,
221,3,8,kyapun,得,343;349,,,,,,,,,
222,3,8,sngihi,流鼻涕,348,,,,,,,,,
223,3,9,bnka,台北,353,,,,,,,,,
224,3,9,thuway,小心,,,,,,,,,,
225,3,9,pgluw,將搭乘,355;356,,,,,,,,,
226,3,9,toruy,車,354,,,,,,,,,
227,3,9,basuʼ,巴士,,,,,,,,,,
228,3,9,kisyaʼ,火車,,,,,,,,,,
229,3,9,piray,旋轉,354,,,,,,,,,
230,3,10,pcyagun,工作,361;365,,,,,,,,,
231,3,10,muya,種植,227;232,,,,,,,,,
232,3,10,ramat,蔬菜,128;129,,,,,,,,,
233,3,10,miray,開車,364,,,,,,,,,
234,3,10,hopa,大,364,,,,,,,,,
235,3,10,torak,卡車,364,,,,,,,,,
236,3,10,pqwasan,學校,366,,,,,,,,,
237,3,10,qniyat,認真,369,,,,,,,,,
238,3,10,mtiyaw,工作,363;369,,,,,,,,,
239,3,11,gleng,前面,,,,,,,,,,
240,3,11,kinbetunux,美麗,371;373,,,,,,,,,
241,3,11,miquy,蘆葦,375,,,,,,,,,
242,3,12,ima,是誰,14;15,,,,,,,,,
243,3,12,hiya,他,27;28,,,,,,,,,
244,3,12,lpyung,朋友,28,,,,,,,,,
245,3,12,mu,我的,16;18,,,,,,,,,
246,3,12,Yukan,尤幹,18;29,,,,,,,,,
247,3,12,qalang Pyanan,南山部落,388,,,,,,,,,
248,3,12,lalu nya,他的名字,29;202,,,,,,,,,
249,3,12,rawin,同輩朋友,382,,,,,,,,,
250,3,12,qalang,部落,162;163,,,,,,,,,
251,3,12,syanoh,松羅,31,,,,,,,,,
252,4,1,unrokay,運動會,608;619,,,,,,,,,
253,4,1,pqasun,令人高興,351;390;391;415,,,,,,,,,
254,4,1,khmay,眾多,750;467;588,,,,,,,,,
255,4,1,muwah,來到,392,,,,,,,,,
256,4,1,qalang,部落ˇ,392;387;296,,,,,,,,,
257,4,1,myan,我們的,394;405;434,,,,,,,,,
258,4,1,mqenah,賽跑,459;393;395,,,,,,,,,
259,4,1,qnabu,獎品,394,,,,,,,,,
260,4,1,ssyaqan,逗趣,396;497,,,,,,,,,
261,4,2,rangi,朋友,398;399;283;282,,,,,,,,,
262,4,2,hayung-pusin,哈勇布幸,,,,,,,,,,
263,4,2,mari,球,404;258;161,,,,,,,,,
264,4,2,msqun,一起,336;402;405,,,,,,,,,
265,4,2,krryax,天天,485;514;779,,,,,,,,,
266,4,2,hngaw,假日,403;155;726,,,,,,,,,
267,4,2,mzyuy,玩,404;471,,,,,,,,,
268,4,2,qsya,水,280;303;404,,,,,,,,,
269,4,2,sʼalax,分開,405,,,,,,,,,
270,4,3,qalang,家鄉,407;414;392;296,,,,,,,,,
271,4,3,stacis,寒溪,408;688;814,,,,,,,,,
272,4,3,hlahuy,山野,409;410;593;594,,,,,,,,,
273,4,3,llyung,河流,409;413;678;568,,,,,,,,,
274,4,3,inqyanux,生活,414;435;527,,,,,,,,,
275,4,3,muhiy,種植,411;412,,,,,,,,,
276,4,3,tmubux,播種,411;701,,,,,,,,,
277,4,4,kawas,年齡,27;446;455;541,,,,,,,,,
278,4,4,mbnkis,年老,425,,,,,,,,,
279,4,4,stopaw,跳躍,422;459;624,,,,,,,,,
280,4,4,tmring,摸到,424;772,,,,,,,,,
281,4,4,gasil,繩索,423,,,,,,,,,
282,4,5,pitu,七,,,,,,,,,,
283,4,5,cinngasal,家,428;429;435,,,,,,,,,
284,4,5,tminun,編織,431;430;320;795,,,,,,,,,
285,4,5,kiri,背簍,261;430,,,,,,,,,
286,4,5,pala,泰雅織布,495;467;423;102,,,,,,,,,
287,4,5,mtiyaw,工作,369;432;811,,,,,,,,,
288,4,5,qsuyan,兄姊,434;395;326;324,,,,,,,,,
289,4,5,sswe,弟妹,82;135;406;410,,,,,,,,,
290,4,5,msqun,一起,405;434;402;336,,,,,,,,,
291,4,5,biru,書,475;476;477;479;481,,,,,,,,,
292,4,5,inqyanux,生活,414;435;527;578,,,,,,,,,
293,4,7,siyon,喜歡,441,,,,,,,,,
294,4,7,bzyok,山豬,439,,,,,,,,,
295,4,7,yapit,飛鼠,339;116;584;439,,,,,,,,,
296,4,7,piku,臭鼬,439,,,,,,,,,
297,4,7,ngarux,熊,439,,,,,,,,,
298,4,7,qbux,狐狸,439,,,,,,,,,
299,4,7,mit,山羊,439,,,,,,,,,
300,4,7,psqun,一起,443,,,,,,,,,
301,4,7,mhkangi,出沒路線,442,,,,,,,,,
302,4,7,mgluw,結伴,351,,,,,,,,,
303,4,7,ska,中間,,,,,,,,,,
304,4,7,tuqiy,道路,,,,,,,,,,
305,4,7,htu,出現,,,,,,,,,,
306,4,7,yawu,事情,,,,,,,,,,
307,4,7,hata,走,196;228;283,,,,,,,,,
308,4,8,snonux,頭髮,448,,,,,,,,,
309,4,8,roziq,眼睛,449;522;791,,,,,,,,,
310,4,8,smyax,明亮的,449,,,,,,,,,
311,4,8,nguhuw,鼻子,450,,,,,,,,,
312,4,8,wagiq,高高的,450,,,,,,,,,
313,4,8,nkwaq,嘴巴,,,,,,,,,,
314,4,8,gʼnux,牙齒,452;666,,,,,,,,,
315,4,8,plquy,潔白的,452,,,,,,,,,
316,4,8,skutaw,胸膛,454,,,,,,,,,
317,4,8,khmay,寬厚的,454;750,,,,,,,,,
318,4,8,nbwas,小腹,455,,,,,,,,,
319,4,8,mtumaw,圓圓的,,,,,,,,,,
320,4,8,puga,肚臍,456,,,,,,,,,
321,4,8,qroyux,修長的,458,,,,,,,,,
322,4,8,qcyan,屁股,457,,,,,,,,,
323,4,9,mkayal,討論,544;569;570,,,,,,,,,
324,4,9,sobeh,靠近的,467,,,,,,,,,
325,4,9,tatak,工寮,465,,,,,,,,,
326,4,9,sqoya,斷崖,467,,,,,,,,,
327,4,9,pturuy,滑落,,,,,,,,,,
328,4,9,llyung,河流,468,,,,,,,,,
329,4,9,tquleh,打魚,468,,,,,,,,,
330,4,10,cipoq,小,451;534,,,,,,,,,
331,4,10,suxan,明天,473;483,,,,,,,,,
332,4,10,qmalup,狩獵,473;606,,,,,,,,,
333,4,10,rgyax,山上,438;471;473;593;595,,,,,,,,,
334,4,10,talagay,哇！,479;598;633;677,,,,,,,,,
335,4,10,mit,羊,439,,,,,,,,,
336,4,11,watan,瓦旦,,,,,,,,,,
337,4,11,smʼatu,過年,483,,,,,,,,,
338,4,11,pisuy,比水,,,,,,,,,,
339,4,11,lpyun,親友,483;516,,,,,,,,,
340,4,11,sumul,糯米飯,485;828,,,,,,,,,
341,4,11,ngahi,地瓜,411,,,,,,,,,
342,4,11,tmmyan qsinuw,山醃肉,485,,,,,,,,,
343,4,11,tmmyan qulih,醃魚,485,,,,,,,,,
344,4,11,sehuy,芋頭,485,,,,,,,,,
345,4,11,yahuw,山茼萵,485,,,,,,,,,
346,4,11,tana,刺蓯,485,,,,,,,,,
347,4,11,maqaw,山胡椒,485,,,,,,,,,
348,4,11,wasiq,龍葵,485,,,,,,,,,
349,5,1,sʼsu,乖巧,501;508;511,,,,,,,,,
350,5,1,mshiyu,正直,499;500;508;511;842,,,,,,,,,
351,5,1,qniyat,勤勞,502;522;535;575;658,,,,,,,,,
352,5,1,rmaw,幫忙,502;512;655,,,,,,,,,
353,5,1,srangi,交友,,,,,,,,,,
354,5,1,mnglun,考慮,,,,,,,,,,
355,5,2,qniyat,勤勞,502;522;535;575;658,,,,,,,,,
356,5,2,qmyanuh,生活,,,,,,,,,,
357,5,2,makuy,痛風,522,,,,,,,,,
358,5,2,gang,癌症,522,,,,,,,,,
359,5,2,payat roziq,四隻眼睛,522,,,,,,,,,
360,5,2,qsinuw,內臟,526;539;611;617;733,,,,,,,,,
361,5,2,kmolung,蝦,526,,,,,,,,,
362,5,2,sqwagan,宿醉,539,,,,,,,,,
363,5,2,abi,睡覺,529,,,,,,,,,
364,5,2,tʼaring,引起,565;629,,,,,,,,,
365,5,2,waha,產生,,,,,,,,,,
366,5,2,innbu,疾病,523;525;531,,,,,,,,,
367,5,2,hi,身體,531,,,,,,,,,
368,5,3,qalang,家鄉,,,,,,,,,,
369,5,3,hgci,廣大,,,,,,,,,,
370,5,3,uraw,土地,665;668,,,,,,,,,
371,5,3,hlahuy,山,539;596;808,,,,,,,,,
372,5,3,qqsinuw,野生動物,539;611;779,,,,,,,,,
373,5,3,qsya,水,551,,,,,,,,,
374,5,3,msyaw,豐沛,544,,,,,,,,,
375,5,3,gon,山澗水,542,,,,,,,,,
376,5,3,lliyun,河水,468,,,,,,,,,
377,5,3,stacis,寒溪,544,,,,,,,,,
378,5,3,yabung,柚子,545,,,,,,,,,
379,5,3,yutak,柳丁,545,,,,,,,,,
380,5,3,talah,崙埤,546;787,,,,,,,,,
381,5,3,gokosyo,鄉公所,546,,,,,,,,,
382,5,3,syanuh,松羅,547,,,,,,,,,
383,5,3,banun,樂水,550,,,,,,,,,
384,5,3,lmwan,茂安,551,,,,,,,,,
385,5,3,pyanan,南山,553,,,,,,,,,
386,5,3,skikun,四季,553,,,,,,,,,
387,5,3,qhuniq parung,杉木,,,,,,,,,,
388,5,3,sengan,復興,555,,,,,,,,,
389,5,4,nbwas,肚子,455,,,,,,,,,
390,5,4,miyup,進入,,,,,,,,,,
391,5,4,yo cu yen,幼稚園,,,,,,,,,,
392,5,4,mpanga,背著,570,,,,,,,,,
393,5,4,kabang,書包,570,,,,,,,,,
394,5,4,mnlung,思考,573,,,,,,,,,
395,5,4,koku min gako,國民小學,,,,,,,,,,
396,5,4,mnglun,想,575;661,,,,,,,,,
397,5,4,klokah,努力,426,,,,,,,,,
398,5,4,inqyanux,生活,578;728,,,,,,,,,
399,5,5,saniq,忌諱,580;587;767;770;810,,,,,,,,,
400,5,5,pinlqyan,生產,581;584,,,,,,,,,
401,5,5,qsuyan kneril,姊姊,666,,,,,,,,,
402,5,5,ini,不,588;640;641;699;700,,,,,,,,,
403,5,5,hmci,隨便,782,,,,,,,,,
404,5,5,kmayal,說話,585,,,,,,,,,
405,5,5,smyaka,偷看,,,,,,,,,,
406,5,5,smʼang,懲罰,,,,,,,,,,
407,5,5,Utux,祖靈,588,,,,,,,,,
408,5,6,tlubuw,吹奏,495,,,,,,,,,
409,5,6,biq,葉片聲,591;598;603;611,,,,,,,,,
410,5,6,qsliq,喜歡,,,,,,,,,,
411,5,6,kwara,大家,594;634;640;642;646,,,,,,,,,
412,5,6,huyci,流暢,,,,,,,,,,
413,5,6,rgyax,山上,438;471;473;593;595,,,,,,,,,
414,5,6,qhuniq,森林,591;599;603,,,,,,,,,
415,5,6,hngyang,響亮,600,,,,,,,,,
416,5,6,wagaw,哇噻,,,,,,,,,,
417,5,6,zngi,遺忘,604,,,,,,,,,
418,5,6,sinbilan,流傳,604;679;691,,,,,,,,,
419,5,7,batu,巴杜,,,,,,,,,,
420,5,7,behuy,培夫以,,,,,,,,,,
421,5,7,tokan,男子背籃,607;656;822;823,,,,,,,,,
422,5,7,mhkangi,走走,608,,,,,,,,,
423,5,7,qyunam,獵場,608,,,,,,,,,
424,5,7,qmalup,狩獵,606;608,,,,,,,,,
425,5,7,qsinuw,獵物,526;539;611;617;733,,,,,,,,,
426,5,7,smoya,喜歡,514;594,,,,,,,,,
427,5,7,ciriq,夾到,617,,,,,,,,,
428,5,7,rusa,夾動物,615;616;809,,,,,,,,,
429,5,7,rangay,石夾老鼠,616,,,,,,,,,
430,5,7,kakay,夾鳥類,616,,,,,,,,,
431,5,8,cinun,衣飾,622;634;773;794;827,,,,,,,,,
432,5,8,sita,席達,,,,,,,,,,
433,5,8,kgiy,苧麻,629,,,,,,,,,
434,5,8,laping,菈嬪,,,,,,,,,,
435,5,8,hbqan,洗濯,630;632,,,,,,,,,
436,5,8,mnuka,捻線,630;631,,,,,,,,,
437,5,8,mcira,捲線,631,,,,,,,,,
438,5,8,plos,理線,631,,,,,,,,,
439,5,8,hbqan,洗滌,630;632,,,,,,,,,
440,5,8,thkun,沸煮,632,,,,,,,,,
441,5,9,hmwaw,吶喊,637,,,,,,,,,
442,5,9,hmut,隨便,599;641;699;772;777,,,,,,,,,
443,5,9,mlahang,照顧,642,,,,,,,,,
444,5,9,mlawa,喊叫,645,,,,,,,,,
445,5,9,tmucing,敲擊,645,,,,,,,,,
446,5,9,rema,竹桂,,,,,,,,,,
447,5,9,pongan,聽,597,,,,,,,,,
448,5,10,moyay,累,653;659,,,,,,,,,
449,5,10,rmaw,幫忙,502;512;655,,,,,,,,,
450,5,10,usuw,重,656,,,,,,,,,
451,5,10,panga,背著,570;607;822,,,,,,,,,
452,5,10,iyal,像,658;753;777,,,,,,,,,
453,5,10,qmahun,耕作,,,,,,,,,,
454,5,10,laqiy,小孩,512,,,,,,,,,
455,5,10,temu,鐵幕,,,,,,,,,,
456,5,10,mqwas,讀,567;568;571;572;575;658;661;800,,,,,,,,,
457,5,10,nglung,想,661,,,,,,,,,
458,5,11,iyu,藥,659;664;671;672;754,,,,,,,,,
459,5,11,kʼman,植物,668;671;677;713,,,,,,,,,
460,5,11,mxal,疼痛,,,,,,,,,,
461,5,11,abaw,葉,667;673;676,,,,,,,,,
462,5,11,qpayuk,草,667,,,,,,,,,
463,5,11,mttakuy,跌倒,,,,,,,,,,
